0.0	-7.3	7.3	1.0	-1.0	53.3	53.3
0.1	-7.2	7.2	1.0	-1.0	53.3	53.3
0.2	-7.1	7.1	0.9	-0.9	53.4	53.4
0.3	-7.0	7.0	0.6	-0.6	53.7	53.7
0.4	-7.0	7.0	0.3	-0.3	54.1	54.1
0.5	-7.0	7.0	0.1	-0.1	54.5	54.5
0.6	-7.0	7.0	-0.2	0.2	54.8	54.8
0.7	-7.0	7.0	-0.4	0.4	54.5	54.5
0.8	-7.0	7.0	-0.5	0.5	54.0	54.0
0.9	-7.1	7.1	-0.6	0.6	53.5	53.5
1.0	-7.1	7.1	-0.6	0.6	52.8	52.8
1.1	-7.2	7.2	-0.5	0.5	52.4	52.4
1.2	-7.2	7.2	-0.5	0.5	52.5	52.5
1.3	-7.3	7.3	-0.6	0.6	52.8	52.8
1.4	-7.4	7.4	-0.7	0.7	53.4	53.4
1.5	-7.4	7.4	-0.7	0.7	53.2	53.2
1.6	-7.5	7.5	-0.6	0.6	53.1	53.1
1.7	-7.5	7.5	-0.5	0.5	53.0	53.0
1.8	-7.6	7.6	-0.5	0.5	52.8	52.8
1.9	-7.6	7.6	-0.4	0.4	52.9	52.9
2.0	-7.7	7.7	-0.3	0.3	53.0	53.0
2.1	-7.7	7.7	-0.3	0.3	52.8	52.8
2.2	-7.7	7.7	-0.3	0.3	52.6	52.6
2.3	-7.8	7.8	-0.3	0.3	52.8	52.8
2.4	-7.8	7.8	-0.3	0.3	52.7	52.7
2.5	-7.8	7.8	-0.4	0.4	52.7	52.7
2.6	-7.9	7.9	-0.4	0.4	53.2	53.2
2.7	-7.9	7.9	-0.2	0.2	53.1	53.1
2.8	-7.9	7.9	-0.1	0.1	53.3	53.3
2.9	-7.9	7.9	-0.2	0.2	53.3	53.3
3.0	-7.9	7.9	-0.2	0.2	53.2	53.2
3.1	-8.0	8.0	-0.2	0.2	52.9	52.9
3.2	-8.0	8.0	-0.0	0.0	52.9	52.9
3.3	-8.0	8.0	-0.0	0.0	53.0	53.0
3.4	-8.0	8.0	-0.2	0.2	53.1	53.1
3.5	-8.0	8.0	-0.4	0.4	53.0	53.0
3.6	-8.0	8.0	-0.4	0.4	53.0	53.0
3.7	-8.1	8.1	-0.2	0.2	52.8	52.8
3.8	-8.1	8.1	0.0	-0.0	53.0	53.0
3.9	-8.1	8.1	-0.1	0.1	52.9	52.9
4.0	-8.1	8.1	-0.2	0.2	53.1	53.1

